epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4421.53,0.26257,0.18193,0.77631,0.8797,0.88283,0.88883,0.65005,1.46633,1.1782,1.09939,0.000987034,0.000987034,0.000987034
63,4488.25,0.26518,0.18475,0.776,0.89991,0.88399,0.8924,0.64574,1.47762,1.20263,1.09902,0.000979039,0.000979039,0.000979039
64,4557.78,0.25304,0.17901,0.7748,0.87766,0.89611,0.89767,0.6538,1.46873,1.30724,1.09989,0.000970958,0.000970958,0.000970958
65,4627.21,0.24606,0.17333,0.77471,0.88981,0.88902,0.89561,0.64453,1.471,1.20888,1.10281,0.000962793,0.000962793,0.000962793
66,4696.34,0.25026,0.17617,0.77419,0.88597,0.88875,0.89159,0.64656,1.47407,1.18788,1.10279,0.000954546,0.000954546,0.000954546
67,4763.65,0.25367,0.17702,0.77646,0.87826,0.88933,0.89496,0.65005,1.47239,1.22606,1.10072,0.000946219,0.000946219,0.000946219
68,4829.84,0.24226,0.17246,0.7746,0.87223,0.87357,0.89256,0.64319,1.47461,1.18819,1.10678,0.000937815,0.000937815,0.000937815
69,4895.84,0.24539,0.17251,0.77354,0.87018,0.87317,0.89344,0.63963,1.46547,1.18964,1.09785,0.000929335,0.000929335,0.000929335
70,4961.64,0.23918,0.16906,0.77312,0.88762,0.89122,0.89562,0.65367,1.47123,1.24339,1.103,0.000920782,0.000920782,0.000920782
71,5027.69,0.23812,0.1696,0.77393,0.89566,0.85609,0.89009,0.64567,1.4789,1.21461,1.10607,0.000912157,0.000912157,0.000912157
72,5093.7,0.23721,0.16721,0.77357,0.90003,0.85561,0.89214,0.64752,1.48259,1.25011,1.11713,0.000903462,0.000903462,0.000903462
73,5159.62,0.24845,0.17219,0.77249,0.89017,0.84689,0.88837,0.64405,1.4717,1.21116,1.10666,0.000894701,0.000894701,0.000894701
74,5225.34,0.23974,0.16914,0.77369,0.92515,0.83002,0.88556,0.64163,1.47112,1.20965,1.1024,0.000885875,0.000885875,0.000885875
75,5291.16,0.23713,0.16823,0.77418,0.89147,0.82947,0.86617,0.62426,1.4695,1.27474,1.10283,0.000876985,0.000876985,0.000876985
76,5356.91,0.23837,0.16847,0.77271,0.90091,0.83224,0.87051,0.62791,1.46364,1.14071,1.09945,0.000868035,0.000868035,0.000868035
77,5422.95,0.23133,0.16392,0.77265,0.89893,0.84061,0.86777,0.63164,1.46442,1.22071,1.10061,0.000859027,0.000859027,0.000859027
78,5488.84,0.22327,0.15986,0.77379,0.88144,0.85275,0.88031,0.63573,1.46901,1.28174,1.10549,0.000849963,0.000849963,0.000849963
79,5554.69,0.22583,0.16237,0.773,0.90828,0.845,0.88291,0.63414,1.46794,1.19843,1.10376,0.000840844,0.000840844,0.000840844
80,5623.33,0.23181,0.16457,0.77321,0.89795,0.85211,0.87509,0.62885,1.46559,1.23316,1.09741,0.000831674,0.000831674,0.000831674
81,5691.95,0.22056,0.15908,0.7728,0.90628,0.84514,0.87366,0.62697,1.46946,1.18787,1.10379,0.000822454,0.000822454,0.000822454
82,5760.81,0.22163,0.15916,0.77151,0.91128,0.83864,0.8881,0.64684,1.45557,1.17448,1.09686,0.000813187,0.000813187,0.000813187
83,5829.37,0.22174,0.15943,0.77292,0.8899,0.85318,0.87234,0.63112,1.46847,1.21344,1.10416,0.000803876,0.000803876,0.000803876
84,5898.13,0.21414,0.15566,0.77305,0.91235,0.83116,0.88473,0.64268,1.45955,1.16864,1.09869,0.000794521,0.000794521,0.000794521
85,5966.66,0.21802,0.15736,0.77176,0.89508,0.8558,0.8876,0.64772,1.46839,1.18652,1.10711,0.000785127,0.000785127,0.000785127
86,6034.89,0.21742,0.15598,0.7725,0.90589,0.82784,0.86847,0.63423,1.47276,1.1687,1.111,0.000775694,0.000775694,0.000775694
87,6103.07,0.2178,0.1557,0.77169,0.90231,0.8521,0.87622,0.63333,1.47036,1.16132,1.10459,0.000766226,0.000766226,0.000766226
88,6171.34,0.20948,0.15268,0.77266,0.9146,0.82385,0.87066,0.63322,1.47208,1.21337,1.10691,0.000756725,0.000756725,0.000756725
89,6240.28,0.20965,0.15179,0.77094,0.90448,0.83255,0.87054,0.63775,1.48058,1.22203,1.11071,0.000747192,0.000747192,0.000747192
90,6308.34,0.20608,0.14929,0.77084,0.90937,0.84555,0.88769,0.64759,1.4698,1.17944,1.10841,0.000737631,0.000737631,0.000737631
91,6376.57,0.20547,0.14971,0.77057,0.87437,0.85506,0.86891,0.63693,1.47959,1.17322,1.11038,0.000728044,0.000728044,0.000728044
92,6444.89,0.21038,0.15096,0.77182,0.90467,0.8469,0.88239,0.6415,1.48196,1.16935,1.11101,0.000718433,0.000718433,0.000718433
93,6513.54,0.20635,0.1494,0.77234,0.88146,0.83539,0.86721,0.63528,1.48087,1.2549,1.11231,0.0007088,0.0007088,0.0007088
94,6581.84,0.20221,0.14679,0.77162,0.89982,0.83514,0.86814,0.63287,1.47505,1.20273,1.11051,0.000699148,0.000699148,0.000699148
